slug,t0_ms,end_ms,token_up,token_down
btc-updown-5m-1783242600,1783242600000,1783242900000,945797767474,804975181108
btc-updown-5m-1783242900,1783242900000,1783243200000,743198489929,741928234826
btc-updown-5m-1783243200,1783243200000,1783243500000,102574002907,802863511278
btc-updown-5m-1783243500,1783243500000,1783243800000,112311002628,759771968227
btc-updown-5m-1783243800,1783243800000,1783244100000,888350958716,375636502672
btc-updown-5m-1783244100,1783244100000,1783244400000,103079492256,178697221300
btc-updown-5m-1783244400,1783244400000,1783244700000,418687391432,317451209080
btc-updown-5m-1783244700,1783244700000,1783245000000,488103065706,260798165359
btc-updown-5m-1783245000,1783245000000,1783245300000,485426939024,719722872876
btc-updown-5m-1783245300,1783245300000,1783245600000,840313886471,268588358730
btc-updown-5m-1783245600,1783245600000,1783245900000,631333549727,629283243925
btc-updown-5m-1783245900,1783245900000,1783246200000,704791299250,177208099122
btc-updown-5m-1783246200,1783246200000,1783246500000,874892223617,413222701393
btc-updown-5m-1783246500,1783246500000,1783246800000,632833962875,943278734313
btc-updown-5m-1783246800,1783246800000,1783247100000,662108672962,106636637311
btc-updown-5m-1783247100,1783247100000,1783247400000,953249430927,871608253619
btc-updown-5m-1783247400,1783247400000,1783247700000,669001703208,112560076695
btc-updown-5m-1783247700,1783247700000,1783248000000,521444964943,209395292465
btc-updown-5m-1783248000,1783248000000,1783248300000,100089365698,394992931142
btc-updown-5m-1783248300,1783248300000,1783248600000,108764890024,428673555740
btc-updown-5m-1783248600,1783248600000,1783248900000,153828485215,470808416689
btc-updown-5m-1783248900,1783248900000,1783249200000,944026001729,794166308563
btc-updown-5m-1783249200,1783249200000,1783249500000,827830880000,108522160249
btc-updown-5m-1783249500,1783249500000,1783249800000,473153408949,498002165182
btc-updown-5m-1783249800,1783249800000,1783250100000,319264778265,424096080646
btc-updown-5m-1783250100,1783250100000,1783250400000,964475175857,316097732414
btc-updown-5m-1783250400,1783250400000,1783250700000,966390441399,813642302159
btc-updown-5m-1783250700,1783250700000,1783251000000,100754449531,110338383044
btc-updown-5m-1783251000,1783251000000,1783251300000,408696567480,493918933545
btc-updown-5m-1783251300,1783251300000,1783251600000,718362888489,691028782679
btc-updown-5m-1783251600,1783251600000,1783251900000,341123998950,307081572768
btc-updown-5m-1783251900,1783251900000,1783252200000,520679580404,790809030108
btc-updown-5m-1783252200,1783252200000,1783252500000,642587096883,843462427203
btc-updown-5m-1783252500,1783252500000,1783252800000,885767164033,547279428603
btc-updown-5m-1783252800,1783252800000,1783253100000,105163333504,484141605246
btc-updown-5m-1783253100,1783253100000,1783253400000,880082430453,862905429052
btc-updown-5m-1783253400,1783253400000,1783253700000,338714769663,163827336466
btc-updown-5m-1783253700,1783253700000,1783254000000,764465333358,498563925745
btc-updown-5m-1783254000,1783254000000,1783254300000,878170742558,102106152467
btc-updown-5m-1783254300,1783254300000,1783254600000,952743879711,435127013694
btc-updown-5m-1783254600,1783254600000,1783254900000,819113635224,369537466107
btc-updown-5m-1783254900,1783254900000,1783255200000,231864606709,634755741983
btc-updown-5m-1783255200,1783255200000,1783255500000,866156302425,716565757547
btc-updown-5m-1783255500,1783255500000,1783255800000,871591028375,852588825281
btc-updown-5m-1783255800,1783255800000,1783256100000,912404772628,676611463247
btc-updown-5m-1783256100,1783256100000,1783256400000,353862379563,549567063140
btc-updown-5m-1783256400,1783256400000,1783256700000,972309466013,866964882534
btc-updown-5m-1783256700,1783256700000,1783257000000,480707882068,672146021318
btc-updown-5m-1783257000,1783257000000,1783257300000,428389334100,877416303487
btc-updown-5m-1783257300,1783257300000,1783257600000,122211509632,167979192637
btc-updown-5m-1783257600,1783257600000,1783257900000,613135383122,620070635342
btc-updown-5m-1783257900,1783257900000,1783258200000,650225042551,570146295296
btc-updown-5m-1783258200,1783258200000,1783258500000,210277174789,413444806407
btc-updown-5m-1783258500,1783258500000,1783258800000,113849092647,465439444913
btc-updown-5m-1783258800,1783258800000,1783259100000,114052060359,676550856854
btc-updown-5m-1783259100,1783259100000,1783259400000,386528751459,899051312959
btc-updown-5m-1783284000,1783284000000,1783284300000,576376962817,103806842710
btc-updown-5m-1783284300,1783284300000,1783284600000,105716380391,105565428263
btc-updown-5m-1783284600,1783284600000,1783284900000,318461220541,341039106496
btc-updown-5m-1783284900,1783284900000,1783285200000,847354166696,813956263747
btc-updown-5m-1783285200,1783285200000,1783285500000,943477609907,115446938510
btc-updown-5m-1783285500,1783285500000,1783285800000,103862306178,733749916434
btc-updown-5m-1783285800,1783285800000,1783286100000,429561901576,457383402255
btc-updown-5m-1783286100,1783286100000,1783286400000,386643908840,606371561032
btc-updown-5m-1783286400,1783286400000,1783286700000,935110190019,172740815293
btc-updown-5m-1783286700,1783286700000,1783287000000,105712716069,538537359739
btc-updown-5m-1783287000,1783287000000,1783287300000,128307626537,140108840748
btc-updown-5m-1783287300,1783287300000,1783287600000,870627698084,207725248498
btc-updown-5m-1783287600,1783287600000,1783287900000,726021581266,228450356943
btc-updown-5m-1783287900,1783287900000,1783288200000,593890669964,840899235485
btc-updown-5m-1783288200,1783288200000,1783288500000,563925782857,418694986311
btc-updown-5m-1783288500,1783288500000,1783288800000,134949977997,936546293687
btc-updown-5m-1783288800,1783288800000,1783289100000,532300079143,603365211378
btc-updown-5m-1783289100,1783289100000,1783289400000,566926177208,369857526014
btc-updown-5m-1783289400,1783289400000,1783289700000,853817632223,245613101108
btc-updown-5m-1783289700,1783289700000,1783290000000,576982155861,805258976256
btc-updown-5m-1783290000,1783290000000,1783290300000,112131319593,575942904929
btc-updown-5m-1783290300,1783290300000,1783290600000,306728095522,173540195079
btc-updown-5m-1783290600,1783290600000,1783290900000,103757930376,189273760958
btc-updown-5m-1783290900,1783290900000,1783291200000,990309568783,845409070372
btc-updown-5m-1783291200,1783291200000,1783291500000,599402448859,104936249319
btc-updown-5m-1783291500,1783291500000,1783291800000,213391492865,126395011128
btc-updown-5m-1783291800,1783291800000,1783292100000,104639269974,440960790158
btc-updown-5m-1783292100,1783292100000,1783292400000,110727233039,823047410053
btc-updown-5m-1783292400,1783292400000,1783292700000,166140507504,452974714351
btc-updown-5m-1783292700,1783292700000,1783293000000,519943248277,971216494116
btc-updown-5m-1783293000,1783293000000,1783293300000,856959821486,358992914464
btc-updown-5m-1783293300,1783293300000,1783293600000,105580722132,302298862616
btc-updown-5m-1783293600,1783293600000,1783293900000,498264804094,109801968260
btc-updown-5m-1783293900,1783293900000,1783294200000,211157520326,424689118503
btc-updown-5m-1783294200,1783294200000,1783294500000,143678819842,368408549304
btc-updown-5m-1783294500,1783294500000,1783294800000,103778213920,153812747767
btc-updown-5m-1783294800,1783294800000,1783295100000,477788759949,558915574126
btc-updown-5m-1783295100,1783295100000,1783295400000,518752439234,114857563563
btc-updown-5m-1783295400,1783295400000,1783295700000,101757740171,510885295622
btc-updown-5m-1783295700,1783295700000,1783296000000,100597354867,639217300580
