ts_ms,price,recv_ms
1783359912000,63687.01,1783359912462
1783359913000,63687,1783359913428
1783359914000,63687,1783359914338
1783359915000,63687,1783359915339
1783359916000,63687.01,1783359916448
1783359917000,63687.01,1783359917393
1783359918000,63680.01,1783359918381
1783359919000,63664.46,1783359919378
1783359920000,63664.47,1783359920424
1783359921000,63664.46,1783359921671
1783359922000,63664.46,1783359922388
1783359923000,63664.46,1783359923372
1783359924000,63664.46,1783359924436
1783359925000,63664.47,1783359925564
1783359926000,63660.04,1783359926485
1783359927000,63650.01,1783359927350
1783359928000,63657.29,1783359928442
1783359929000,63657.99,1783359929659
1783359930000,63670,1783359930477
1783359931000,63672.11,1783359931399
1783359932000,63674,1783359932437
1783359933000,63674.01,1783359933551
1783359934000,63677.04,1783359934571
1783359935000,63677.04,1783359935308
1783359936000,63677.05,1783359936370
1783359937000,63678,1783359937425
1783359938000,63677.99,1783359938472
1783359939000,63677.99,1783359939345
1783359940000,63678,1783359940410
1783359941000,63677.99,1783359941347
1783359942000,63679.99,1783359942413
1783359943000,63679.99,1783359943383
1783359944000,63679.99,1783359944316
1783359945000,63679.27,1783359945332
1783359946000,63678,1783359946443
1783359947000,63678,1783359947407
1783359948000,63678.01,1783359948440
1783359949000,63680,1783359949361
1783359950000,63679.99,1783359950445
1783359951000,63679.99,1783359951487
1783359952000,63681.02,1783359952401
1783359953000,63681.02,1783359953623
1783359954000,63684.22,1783359954345
1783359955000,63696,1783359955566
1783359956000,63695.99,1783359956511
1783359957000,63696,1783359957422
1783359958000,63695.99,1783359958327
1783359959000,63695.99,1783359959472
1783359960000,63695.99,1783359960380
1783359961000,63695.99,1783359961402
1783359962000,63696,1783359962427
1783359963000,63695.99,1783359963613
1783359964000,63696,1783359964475
1783359965000,63696,1783359965601
1783359966000,63695.99,1783359966364
1783359967000,63696,1783359967547
1783359968000,63696,1783359968322
1783359969000,63696,1783359969446
1783359970000,63700,1783359970429
1783359971000,63700,1783359971405
1783359972000,63721.59,1783359972362
1783359973000,63721.58,1783359973385
1783359974000,63721.58,1783359974384
1783359975000,63721.59,1783359975337
1783359976000,63721.59,1783359976440
1783359977000,63721.58,1783359977480
1783359978000,63721.59,1783359978506
1783359979000,63721.59,1783359979382
1783359980000,63721.59,1783359980449
1783359981000,63721.59,1783359981395
1783359982000,63721.58,1783359982367
1783359983000,63721.59,1783359983368
1783359984000,63721.59,1783359984331
1783359985000,63721.58,1783359985321
1783359986000,63721.59,1783359986389
1783359987000,63721.59,1783359987379
1783359988000,63721.59,1783359988335
1783359989000,63721.59,1783359989356
1783359990000,63721.59,1783359990324
1783359991000,63721.59,1783359991315
1783359992000,63721.59,1783359992432
1783359993000,63721.58,1783359993350
1783359994000,63721.58,1783359994386
1783359995000,63721.58,1783359995503
