recv_ms,asset,bid,ask
1783188548909,140303448849,0.3,0.34
1783188548909,100549640851,0.66,0.7
1783188548922,140303448849,0.29,0.34
1783188548922,100549640851,0.66,0.71
1783188548934,100549640851,0.68,0.71
1783188548934,140303448849,0.29,0.32
1783188548945,100549640851,0.69,0.71
1783188548945,140303448849,0.29,0.31
1783188548957,100549640851,0.7,0.71
1783188548957,140303448849,0.29,0.3
1783188548995,140303448849,0.28,0.3
1783188548995,100549640851,0.7,0.72
1783188549003,100549640851,0.7,0.72
1783188549003,140303448849,0.28,0.3
1783188549003,140303448849,0.27,0.3
1783188549003,100549640851,0.7,0.73
1783188549137,140303448849,0.29,0.3
1783188549137,100549640851,0.7,0.71
1783188549145,100549640851,0.61,0.71
1783188549145,140303448849,0.29,0.39
1783188549153,100549640851,0.67,0.71
1783188549153,140303448849,0.29,0.33
1783188549165,100549640851,0.7,0.71
1783188549165,140303448849,0.29,0.3
1783188549181,140303448849,0.27,0.3
1783188549181,100549640851,0.7,0.73
1783188549186,100549640851,0.7,0.72
1783188549186,140303448849,0.28,0.3
1783188549247,100549640851,0.71,0.72
1783188549247,140303448849,0.28,0.29
1783188549293,140303448849,0.27,0.29
1783188549293,100549640851,0.71,0.73
1783188549315,100549640851,0.71,0.72
1783188549315,140303448849,0.28,0.29
1783188549423,140303448849,0.27,0.29
1783188549423,100549640851,0.71,0.73
1783188549427,140303448849,0.28,0.29
1783188549427,100549640851,0.71,0.72
1783188549442,100549640851,0.7,0.72
1783188549442,140303448849,0.28,0.3
1783188549451,140303448849,0.29,0.3
1783188549451,100549640851,0.7,0.71
1783188549469,100549640851,0.66,0.71
1783188549469,140303448849,0.29,0.34
1783188549477,140303448849,0.31,0.34
1783188549477,100549640851,0.66,0.69
1783188549477,140303448849,0.32,0.34
1783188549477,100549640851,0.66,0.68
1783188549482,100549640851,0.63,0.68
1783188549482,140303448849,0.32,0.37
1783188549503,140303448849,0.35,0.37
1783188549503,100549640851,0.63,0.65
1783188549504,140303448849,0.36,0.37
1783188549504,100549640851,0.63,0.64
1783188549540,140303448849,0.33,0.37
1783188549540,100549640851,0.63,0.67
1783188549545,100549640851,0.65,0.67
1783188549545,140303448849,0.33,0.35
1783188549546,100549640851,0.66,0.67
1783188549546,140303448849,0.33,0.34
1783188549550,140303448849,0.29,0.34
1783188549550,100549640851,0.66,0.71
1783188549560,100549640851,0.69,0.71
1783188549560,140303448849,0.29,0.31
1783188549560,100549640851,0.7,0.71
1783188549560,140303448849,0.29,0.3
1783188549610,140303448849,0.23,0.3
1783188549610,100549640851,0.7,0.77
1783188549628,140303448849,0.29,0.3
1783188549628,100549640851,0.7,0.71
1783188549628,140303448849,0.23,0.3
1783188549628,100549640851,0.7,0.77
1783188549628,100549640851,0.73,0.77
1783188549628,140303448849,0.23,0.27
1783188549628,100549640851,0.76,0.77
1783188549628,140303448849,0.23,0.24
1783188549637,140303448849,0.22,0.24
1783188549637,100549640851,0.76,0.78
1783188549642,100549640851,0.77,0.78
1783188549642,140303448849,0.22,0.23
1783188549708,100549640851,0.71,0.78
1783188549708,140303448849,0.22,0.29
1783188549718,140303448849,0.23,0.29
1783188549718,100549640851,0.71,0.77
1783188549718,140303448849,0.25,0.29
1783188549718,100549640851,0.71,0.75
1783188549742,140303448849,0.27,0.29
1783188549742,100549640851,0.71,0.73
1783188549750,140303448849,0.26,0.29
1783188549750,100549640851,0.71,0.74
1783188549758,140303448849,0.27,0.29
1783188549758,100549640851,0.71,0.73
1783188549766,140303448849,0.26,0.29
1783188549766,100549640851,0.71,0.74
1783188549775,100549640851,0.73,0.74
1783188549775,140303448849,0.26,0.27
1783188549794,100549640851,0.72,0.74
1783188549794,140303448849,0.26,0.28
1783188549794,140303448849,0.27,0.28
1783188549794,100549640851,0.72,0.73
1783188549795,140303448849,0.26,0.28
1783188549795,100549640851,0.72,0.74
1783188549801,140303448849,0.27,0.28
1783188549801,100549640851,0.72,0.73
1783188549826,140303448849,0.27,0.29
1783188549826,100549640851,0.71,0.73
1783188549826,140303448849,0.28,0.29
1783188549826,100549640851,0.71,0.72
1783188550003,100549640851,0.71,0.72
1783188550003,140303448849,0.28,0.29
1783188550181,100549640851,0.72,0.74
1783188550181,140303448849,0.26,0.28
1783188550188,100549640851,0.73,0.74
1783188550188,140303448849,0.26,0.27
1783188550196,140303448849,0.24,0.27
1783188550196,100549640851,0.73,0.76
1783188550196,100549640851,0.74,0.76
1783188550196,140303448849,0.24,0.26
1783188550196,100549640851,0.75,0.76
1783188550196,140303448849,0.24,0.25
1783188550205,140303448849,0.23,0.25
1783188550205,100549640851,0.75,0.77
1783188550211,100549640851,0.76,0.77
1783188550211,140303448849,0.23,0.24
1783188550631,140303448849,0.22,0.24
1783188550631,100549640851,0.76,0.78
1783188550656,100549640851,0.77,0.78
1783188550656,140303448849,0.22,0.23
1783188551008,100549640851,0.77,0.78
1783188551008,140303448849,0.22,0.23
1783188551016,140303448849,0.21,0.23
1783188551016,100549640851,0.77,0.79
1783188551021,140303448849,0.22,0.23
1783188551021,100549640851,0.77,0.78
1783188551042,140303448849,0.21,0.23
1783188551042,100549640851,0.77,0.79
1783188551047,100549640851,0.78,0.79
1783188551047,140303448849,0.21,0.22
1783188551418,100549640851,0.77,0.79
1783188551418,140303448849,0.21,0.23
1783188551426,140303448849,0.22,0.23
1783188551426,100549640851,0.77,0.78
1783188551435,100549640851,0.71,0.78
1783188551435,140303448849,0.22,0.29
1783188551442,140303448849,0.23,0.29
1783188551442,100549640851,0.71,0.77
1783188551449,140303448849,0.25,0.29
1783188551449,100549640851,0.71,0.75
1783188551461,140303448849,0.27,0.29
1783188551461,100549640851,0.71,0.73
1783188551467,140303448849,0.27,0.28
1783188551467,100549640851,0.72,0.73
1783188551467,140303448849,0.26,0.28
1783188551467,100549640851,0.72,0.74
1783188551486,140303448849,0.23,0.28
1783188551486,100549640851,0.72,0.77
1783188551490,100549640851,0.75,0.77
1783188551490,140303448849,0.23,0.25
1783188551493,100549640851,0.76,0.77
1783188551493,140303448849,0.23,0.24
1783188552005,100549640851,0.76,0.77
1783188552005,140303448849,0.23,0.24
1783188552039,140303448849,0.21,0.24
1783188552039,100549640851,0.76,0.79
1783188552046,100549640851,0.77,0.79
1783188552046,140303448849,0.21,0.23
1783188552049,100549640851,0.78,0.79
1783188552049,140303448849,0.21,0.22
1783188552191,140303448849,0.2,0.22
1783188552191,100549640851,0.78,0.8
1783188552191,100549640851,0.79,0.8
1783188552191,140303448849,0.2,0.21
1783188552811,100549640851,0.8,0.82
1783188552811,140303448849,0.18,0.2
1783188552844,140303448849,0.16,0.2
1783188552844,100549640851,0.8,0.84
1783188552859,100549640851,0.81,0.84
1783188552859,140303448849,0.16,0.19
1783188552878,100549640851,0.81,0.86
1783188552878,140303448849,0.14,0.19
1783188552900,140303448849,0.12,0.19
1783188552900,100549640851,0.81,0.88
1783188553001,100549640851,0.81,0.88
1783188553001,140303448849,0.12,0.19
1783188553022,100549640851,0.83,0.88
1783188553022,140303448849,0.12,0.17
1783188553068,100549640851,0.85,0.88
1783188553068,140303448849,0.12,0.15
1783188553447,140303448849,0.11,0.15
1783188553447,100549640851,0.85,0.89
1783188553508,100549640851,0.83,0.89
1783188553508,140303448849,0.11,0.17
1783188553594,140303448849,0.1,0.17
1783188553594,100549640851,0.83,0.9
1783188553642,100549640851,0.86,0.9
1783188553642,140303448849,0.1,0.14
