ts_ms,price,recv_ms
1783188629000,63150.838885,1783188630271
1783188630000,63150.951465,1783188631879
1783188631000,63150.943465,1783188632595
1783188632000,63150.83329597209,1783188633427
1783188633000,63153.39973,1783188634959
1783188634000,63154.60226309005,1783188635697
1783188635000,63154.455213386434,1783188636483
1783188636000,63154.603291395884,1783188637166
1783188637000,63154.968053400735,1783188638591
1783188638000,63155.73353851418,1783188639388
1783188639000,63155.81116750169,1783188640477
1783188640000,63155.73492633652,1783188641195
1783188642000,63151.16295170254,1783188643375
1783188644000,63150.118738748206,1783188645165
1783188645000,63152.86347293089,1783188646561
1783188646000,63154.15608847833,1783188647186
1783188647000,63155.24841183655,1783188648748
1783188648000,63155.726563296936,1783188649782
1783188649000,63156.065128126094,1783188650455
1783188650000,63154.388884063046,1783188651149
1783188651000,63154.533818519616,1783188652494
1783188652000,63156.159238428576,1783188653190
1783188653000,63157.20961225039,1783188654549
1783188654000,63157.360613806086,1783188655218
1783188655000,63157.53854200257,1783188656686
1783188656000,63157.530581296174,1783188657320
1783188657000,63157.588275401264,1783188658887
1783188658000,63157.58859266644,1783188659986
1783188659000,63157.57432543286,1783188660527
1783188660000,63157.56374040218,1783188661144
1783188661000,63157.57969580292,1783188662303
1783188662000,63160.28658800241,1783188663670
1783188663000,63160.732292901404,1783188664301
1783188664000,63162.19997393141,1783188665283
1783188665000,63166.838377947905,1783188666492
1783188666000,63168.39745922593,1783188667036
1783188667000,63171.05098679898,1783188668205
1783188668000,63171.56465709876,1783188669313
1783188669000,63170.802917365545,1783188670391
1783188670000,63171.704185893104,1783188671651
1783188671000,63171.7032620292,1783188672148
1783188672000,63172.02126056221,1783188673286
1783188673000,63172.14223551261,1783188675052
1783188674000,63171.544393308126,1783188675907
1783188675000,63171.65587154203,1783188676513
1783188676000,63172.10512184359,1783188677197
1783188677000,63186.74064577921,1783188678411
1783188678000,63192.55359247653,1783188679157
1783188679000,63194.17964089766,1783188680362
1783188680000,63195.365598806944,1783188681083
1783188681000,63194.92944364104,1783188682604
1783188682000,63195.40011793458,1783188683283
1783188683000,63196.27627,1783188684658
1783188684000,63196.319075,1783188685165
1783188685000,63197.944103965936,1783188686539
1783188686000,63198.66544138583,1783188687603
1783188687000,63198.80671880438,1783188688391
1783188688000,63198.970922072345,1783188689126
1783188689000,63199.277905,1783188690676
1783188690000,63199.26436,1783188691655
1783188691000,63201.63634722291,1783188692483
1783188692000,63202.9793071633,1783188693176
1783188693000,63203.962878189275,1783188694272
1783188694000,63204.424595232,1783188695114
1783188695000,63204.67328254762,1783188696145
1783188696000,63205.63095463092,1783188697037
1783188697000,63205.84192311677,1783188698125
1783188698000,63206.32611209732,1783188699010
1783188699000,63206.33690335143,1783188700048
1783188700000,63206.99398765621,1783188700961
1783188701000,63208.083912485665,1783188701967
1783188702000,63209.465534491814,1783188702968
1783188703000,63209.00843232691,1783188704007
1783188704000,63208.27565,1783188704943
1783188705000,63203.361755820006,1783188706485
1783188706000,63203.361755820006,1783188707159
1783188707000,63202.729508390235,1783188708247
1783188708000,63202.409422231714,1783188709219
1783188709000,63199.006951957424,1783188710202
1783188710000,63198.350498197666,1783188711287
1783188711000,63197.742693197666,1783188712223
1783188712000,63197.74622819767,1783188713255
1783188713000,63197.647134000494,1783188714303
1783188714000,63197.70818874757,1783188715291
1783188715000,63197.674499669774,1783188716229
1783188716000,63197.658718197665,1783188717472
1783188717000,63197.65829819767,1783188717897
1783188718000,63197.657793197664,1783188719371
1783188719000,63197.66940819767,1783188720313
1783188720000,63197.672343197664,1783188721332
1783188721000,63197.44765905048,1783188722320
1783188722000,63197.1164420586,1783188723400
1783188723000,63196.96084399728,1783188724211
1783188724000,63196.95963399728,1783188725122
1783188725000,63196.97771899728,1783188726103
1783188726000,63197.90185468061,1783188727033
1783188727000,63196.97577651679,1783188727960
1783188728000,63196.97572651679,1783188729016
1783188729000,63197.92988354814,1783188729868
1783188730000,63203.123507465076,1783188731862
1783188731000,63207.16900331416,1783188732511
1783188732000,63207.49412820832,1783188732990
1783188733000,63207.92896252129,1783188734167
1783188734000,63208.69195731374,1783188735275
1783188735000,63212.14249916965,1783188736759
1783188736000,63213.327,1783188737208
1783188737000,63211.85909,1783188738378
1783188738000,63212.27619515805,1783188739294
1783188739000,63212.28475059785,1783188740663
1783188740000,63212.474616409556,1783188741323
1783188741000,63212.0425024183,1783188742366
1783188742000,63212.02607536472,1783188742944
1783188743000,63209.64672160531,1783188744146
1783188744000,63207.605805,1783188745227
1783188745000,63207.762435,1783188746399
1783188746000,63209.136985593716,1783188747432
1783188747000,63209.116509317966,1783188747987
1783188748000,63208.95152017318,1783188749089
1783188749000,63209.376255,1783188750297
1783188750000,63208.69521,1783188751006
1783188751000,63207.02697177477,1783188752340
1783188752000,63205.202885,1783188753465
1783188753000,63205.003075,1783188754546
1783188754000,63205.001075,1783188755108
1783188755000,63205.252269591794,1783188756527
1783188756000,63209.11396,1783188757027
1783188757000,63206.06342085399,1783188758106
1783188758000,63205.34098,1783188759171
1783188759000,63210.52691019834,1783188760311
1783188760000,63214.413696390744,1783188761495
